Categoria,Subcat_01,Subcat_02,Subcat_03,Subcat_04,Subcat_05,Subcat_06,Subcat_07,Subcat_08,Subcat_09,Subcat_10,Subcat_11,Subcat_12,Subcat_13,Subcat_14,Subcat_15,Subcat_16,Subcat_17,Subcat_18,Subcat_19,Subcat_20,Subcat_21,Subcat_22,Subcat_23,Subcat_24,Subcat_25
Administración Condominal,Administración profesional y tesorería,Asambleas y actas,Auditoría y transparencia,Contratación y supervisión de proveedores,Mantenimiento integral del condominio,Protocolos de huracán y emergencias,,,,,,,,,,,,,,,,,,,
Agencias de Viajes y Tours,Agencia integral (IATA/GDS),Boletos de avión y tren,Cruceros,Grupos y MICE,Hoteles y estancias,Paquetes (vuelo + hotel),Renta de auto y chofer,Seguros de viaje y asistencia,Tours y experiencias,Transportación turística y traslados,Viajes de bodas y romance,Viajes sustentables,Visas y asesoría de viaje,Workations / Nómadas digitales,,,,,,,,,,,
Agua y Tratamiento,Análisis de calidad de agua,Bombas e hidroneumáticos,Captación de lluvia,Cisternas/tinacos y sanitización,Drenaje y aguas residuales,Ósmosis y suavizadores,,,,,,,,,,,,,,,,,,,
Albercas y Jacuzzis,Bombas y filtros,Calentamiento (solar/eléctrico),Cubiertas y seguridad perimetral,Limpieza y balance químico,Rescate de agua verde,Revestimientos e iluminación,,,,,,,,,,,,,,,,,,,
Altas de Servicios y Gestoría Domiciliaria,"Agua y drenaje (altas, medidores)","Citas, pagos y aclaraciones con dependencias","Electricidad (altas, medidores)",Gas LP/Natural (contratos y seguridad),Recolección de basura y reciclaje,,,,,,,,,,,,,,,,,,,,
Automotriz y Movilidad,Auxilio vial básico,"Detallado de motos, bicis y scooters",Encerado/pulido y corrección de pintura,Lavado de flotas y valet empresarial,Lavado de motor (en seco/controlado),Lavado y detallado a domicilio,Limpieza de interiores y sanitización,Polarizado y estética,Protección cerámica / PPF,Tapicería y lavado de asientos,,,,,,,,,,,,,,,
Bienes Raíces y Property Management,Administración de propiedades,Arrendamiento corporativo,Avalúos y opinión de valor,Due diligence inmobiliario,Home staging,Venta y renta,,,,,,,,,,,,,,,,,,,
Bolsa de Trabajo y Talento (Busco / Solicito),Alberquero (técnico de alberca),Carpintero / Herrero / Vidriero,Chofer / Conductor ejecutivo,Cocinera / Cocinero,Cocinero / Chef / Stewarding,Compras / Contabilidad / Administración,Conductor sprinter/autobús,Coordinador de eventos / Montajista / Audio-Iluminación,Guía de turistas / Ventas tours,Housekeeping / Ama de llaves,Jardinería y paisajismo (operativo),Mesero / Bartender / Barista,Paseador / Groomer / Auxiliar veterinario,Personal de servicio/limpieza (hogar/condominio),Pintor / Impermeabilizador,Plomero / Electricista / Técnico A/A,Recepcionista / Concierge,Recursos Humanos / Atención a clientes,Reservaciones / Front desk,Tutorías / Maestros de idiomas,Vigilancia / Guardia,,,,
Carpintería y Muebles,Carpintería a medida,Cubiertas (madera/compuesto),Muebles exteriores,Persianas y closets inteligentes,"Puertas, closets y cocinas integrales",Restauración y barnices,,,,,,,,,,,,,,,,,,,
Clasificados: Perdido y Encontrado,Bicicletas / Scooters,Documentos e identificaciones,Electrónicos,Joyas y relojes,Llaves,Mascotas,Otros,Ropa y accesorios,,,,,,,,,,,,,,,,,
